Temperature (K),Pressure (Pa),n-heptane_mass_fraction,n-heptane_mole_fraction,n-heptane_fugacity_coeff_Fluid,N2_mass_fraction,N2_mole_fraction,N2_fugacity_coeff_Fluid,O2_mass_fraction,O2_mole_fraction,O2_fugacity_coeff_Fluid
260,100000.0,0.7000000000000001,0.4018486911120842,0.9243172198018449,0.23012474656272605,0.47253953402145343,1.0146654126320989,0.06987525343727387,0.1256117748664623,1.0128646735718723
260,100000.0,0.75,0.4634518796496389,0.9181758383455947,0.19177062213560508,0.4238730150767852,1.0198791341535283,0.05822937786439491,0.11267510527357581,1.0178776069436155
260,100000.0,0.8,0.5352485274852689,0.9117627298353292,0.15341649770848403,0.36715366328663757,1.0270868814230776,0.046583502291515914,0.09759780922809352,1.0248409208689364
260,100000.0,0.8500000000000001,0.6199969019349241,0.9052275171281775,0.11506237328136298,0.30020244747141006,1.0373108607250956,0.03493762671863693,0.07980065059366595,1.0347588879521679
260,100000.0,0.9,0.7215490821682357,0.898904848590944,0.07670824885424202,0.21997622508709377,1.0523359244858996,0.023291751145757957,0.058474692744670494,1.049385998933265
260,100000.0,0.9500000000000001,0.8454528272967891,0.8935461002850783,0.03835412442712097,0.12209226643553672,1.0755666833648787,0.011645875572878966,0.03245490626767431,1.0720701490360078
260,100000.0,1.0,1.0,0.8909648372689177,0.0,0.0,1.1508906463006219,0.0,0.0,1.1505852747738745
260,200000.0,0.0,0.0,0.9596821477942207,0.7670824885424203,0.7899999999999999,0.9990094252175745,0.23291751145757963,0.20999999999999996,0.9977765942572744
260,200000.0,0.05,0.0149275754967309,0.9546539876782756,0.7287283641152993,0.7782072153575826,0.9990665332986952,0.22127163588470064,0.20686520914568648,0.9977497764601029
260,200000.0,0.1,0.030999604999762134,0.9493438011967199,0.6903742396881783,0.7655103120501879,0.999216574779905,0.20962576031182167,0.20349008295004994,0.9978090813818992
260,200000.0,0.15000000000000002,0.048352947775149424,0.9437278150188099,0.6520201152610573,0.7518011712576319,0.9994821997123218,0.19797988473894268,0.19984588096721861,0.9979762392539101
260,200000.0,0.2,0.06714719076140574,0.9377796686760884,0.6136659908339364,0.7369537192984896,0.9998920665535844,0.1863340091660637,0.19589908994010477,0.9982788057294114
260,200000.0,0.25,0.08756957079029096,0.9314701066709404,0.5753118664068153,0.7208200390756702,1.000482754510983,0.17468813359318472,0.19161039013403888,0.998752024274768
260,200000.0,0.30000000000000004,0.10984123395536073,0.9247666494045673,0.5369577419796941,0.7032254251752651,1.0013014166032337,0.16304225802030572,0.18693334086937427,0.9994414114150973
260,200000.0,0.35000000000000003,0.1342252760093342,0.9176332564856503,0.49860361755257315,0.683962031952626,1.0024095223169043,0.15139638244742673,0.1818126920380398,1.0004064055996904
260,200000.0,0.4,0.16103718445645337,0.910030010438197,0.46024949312545216,0.6627806242794018,1.0038882378564848,0.13975050687454776,0.17618219126414478,1.0017256149971934
260,200000.0,0.45,0.19065856315058302,0.9019128753767853,0.4218953686983312,0.6393797351110394,1.0058463284351495,0.1281046313016688,0.16996170173837755,1.00350452823097
260,200000.0,0.5,0.22355540980238753,0.8932336345419462,0.38354124427121017,0.6133912262561139,1.0084320551141894,0.11645875572878982,0.1630533639414986,1.005887126538097
260,200000.0,0.55,0.2603028115985561,0.8839402041103015,0.3451871198440891,0.5843607788371407,1.0118516075383985,0.10481288015591082,0.1553364095643032,1.009073879845339
260,200000.0,0.6000000000000001,0.3016188517050566,0.8739777032568764,0.30683299541696807,0.5517211071530053,1.016398647508741,0.09316700458303183,0.1466600411419381,1.013350595255807
260,200000.0,0.65,0.3484120003345535,0.8632910309794873,0.2684788709898471,0.5147545197357029,1.0225036233218436,0.08152112901015286,0.13683347992974382,1.0191365748938979
260,200000.0,0.7000000000000001,0.4018486911120842,0.8518304914614628,0.23012474656272605,0.47253953402145343,1.0308202770967023,0.06987525343727387,0.1256117748664623,1.027069092757724
